fecha,turno,area,eventos_cuello,severidad_media,duracion_total_min,impacto_throughput_medio,impacto_salida_medio,impacto_throughput_total,impacto_salida_total,productividad_turno_indice,presion_operativa_indice,absentismo_proxy,overtime_flag,ratio_capacidad_disponible,ratio_restriccion_activa,causa_dominante,area_stress_score
2025-01-02,A,LOGISTICA,1,5.0,270.0,0.9,0.4641,0.9,0.4641,1.0079,0.5054,0.0294,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.69018
2025-01-03,A,PATIO,1,4.0,224.0,0.3804,0.4279,0.3804,0.4279,1.0421,0.5801,0.0532,false,0.9422161068098568,0.0,REORGANIZACION_FLUJO,29.019419999999997
2025-01-03,B,PATIO,1,5.0,307.0,0.6778,0.99,0.6778,0.99,0.92,0.531,0.0608,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.94345
2025-01-04,A,PATIO,1,5.0,249.0,0.6685,0.99,0.6685,0.99,0.9918,0.4606,0.0747,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.917745000000004
2025-01-04,B,LOGISTICA,1,5.0,236.0,0.9,0.4755,0.9,0.4755,1.0026,0.4977,0.0693,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.700039999999994
2025-01-05,A,PATIO,1,5.0,261.0,0.6805,0.99,0.6805,0.99,1.0297,0.5391,0.0639,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.948445
2025-01-06,B,LOGISTICA,1,5.0,257.0,0.9,0.4761,0.9,0.4761,0.9926,0.5355,0.0764,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.7082
2025-01-07,A,PATIO,1,5.0,266.0,0.6468,0.99,0.6468,0.99,0.9824,0.5613,0.0705,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.910759999999996
2025-01-07,B,LOGISTICA,1,5.0,244.0,0.9,0.4688,0.9,0.4688,0.8878,0.6192,0.0976,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.717639999999996
2025-01-08,A,LOGISTICA,1,5.0,211.0,0.9,0.4767,0.9,0.4767,0.9335,0.4632,0.0874,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.69434
2025-01-08,C,PATIO,1,5.0,238.0,0.6847,0.99,0.6847,0.99,0.8794,0.5553,0.0767,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.956935
2025-01-09,A,LOGISTICA,1,5.0,245.0,0.9,0.4837,0.9,0.4837,0.9917,0.4124,0.0914,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.691179999999996
2025-01-09,B,PATIO,1,5.0,293.0,0.6827,0.99,0.6827,0.99,0.914,0.4631,0.0483,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.935995
2025-01-10,B,PATIO,1,5.0,284.0,0.6555,0.99,0.6555,0.99,0.9112,0.5572,0.0653,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.920815000000005
2025-01-11,A,PATIO,1,5.0,278.0,0.7075,0.99,0.7075,0.99,0.9863,0.4444,0.081,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.963255000000004
2025-01-11,B,LOGISTICA,1,5.0,176.0,0.9,0.4657,0.9,0.4657,0.8824,0.5339,0.0948,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.69748
2025-01-12,B,PATIO,1,5.0,284.0,0.694,0.99,0.694,0.99,0.9598,0.4599,0.0949,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.94948
2025-01-12,C,CARGA,1,4.0,284.0,0.4098,0.461,0.4098,0.461,0.7927,0.485,0.1118,true,0.8557777777777779,1.0,MANTENIMIENTO_CARGA,29.070249999999998
2025-01-13,A,PATIO,1,5.0,241.0,0.6794,0.99,0.6794,0.99,0.9655,0.4492,0.0921,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.92909
2025-01-13,C,PRODUCCION,1,4.0,238.0,0.3959,0.4454,0.3959,0.4454,0.8388,0.6057,0.1162,true,0.8371349715099715,0.0,MICROPARADAS_LINEA,29.061414999999997
2025-01-14,A,PATIO,1,5.0,295.0,0.6506,0.99,0.6506,0.99,0.9678,0.6043,0.0785,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.92411
2025-01-14,B,LOGISTICA,1,5.0,236.0,0.9,0.4637,0.9,0.4637,0.9866,0.4784,0.089,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.68438
2025-01-15,A,PATIO,1,5.0,282.0,0.6713,0.99,0.6713,0.99,0.918,0.463,0.0927,false,0.9422161068098568,0.0,BLOQUEO_INTERNO_Y_REUBICACION,36.921725
2025-01-15,B,LOGISTICA,1,5.0,236.0,0.9,0.4614,0.9,0.4614,0.8477,0.6327,0.0733,false,0.9724999999999999,0.0,DESALINEACION_READINESS_TRANSPORTE,36.712939999999996
