ts_hour,zona_patio,occupancy_units,estimated_capacity_units,yard_occupancy_rate,avg_dwell_time_min,p95_dwell_time_min,blocking_rate,movement_density,non_productive_move_rate,movement_required_rate,operational_risk_score
2025-01-02 08:00:00,ESTE,1,50.0,0.02,0.0,0.0,0.0,1,1.0,0.0,20.700000000000003
2025-01-02 09:00:00,PRE_SALIDA,2,50.0,0.04,695.6666666666666,1038.4,0.6666666666666666,1,1.0,0.6666666666666666,66.4
2025-01-02 11:00:00,SUR,3,50.0,0.06,0.0,0.0,0.0,1,1.0,0.0,22.1
2025-01-02 18:00:00,OESTE,3,50.0,0.06,0.0,0.0,0.0,2,1.0,0.0,22.1
2025-01-03 02:00:00,ESTE,3,50.0,0.06,0.0,0.0,0.0,1,1.0,0.0,22.1
2025-01-03 07:00:00,ESTE,1,50.0,0.02,0.0,0.0,0.0,3,1.0,0.0,20.700000000000003
2025-01-03 11:00:00,OESTE,1,50.0,0.02,0.0,0.0,0.0,1,1.0,0.0,20.700000000000003
2025-01-03 12:00:00,PRE_SALIDA,13,50.0,0.26,1738.3846153846155,2595.0,1.0,2,1.0,1.0,74.1
2025-01-03 13:00:00,OESTE,1,50.0,0.02,0.0,0.0,0.0,1,1.0,0.0,20.700000000000003
2025-01-03 16:00:00,NORTE,1,50.0,0.02,0.0,0.0,0.0,1,1.0,0.0,20.700000000000003
2025-01-04 02:00:00,SUR,3,50.0,0.06,0.0,0.0,0.0,1,1.0,0.0,22.1
2025-01-04 04:00:00,OESTE,3,50.0,0.06,0.0,0.0,0.0,2,1.0,0.0,22.1
2025-01-04 06:00:00,NORTE,3,50.0,0.06,117.33333333333333,316.79999999999995,0.0,1,1.0,0.0,42.1
2025-01-04 07:00:00,SUR,1,50.0,0.02,0.0,0.0,0.0,1,1.0,0.0,20.700000000000003
2025-01-04 10:00:00,SUR,2,50.0,0.04,0.0,0.0,0.0,2,1.0,0.0,21.400000000000002
2025-01-04 11:00:00,BUFFER_CARGA,1,50.0,0.02,101.0,101.0,0.0,4,1.0,1.0,29.116666666666667
2025-01-04 11:00:00,PRE_SALIDA,16,50.0,0.32,1544.5263157894738,3497.5,0.9473684210526315,1,1.0,0.9473684210526315,76.2
