fecha,turno,area,throughput_gap,congestion_index,avg_wait_time,queue_pressure_score,slot_utilization,yard_occupancy_rate,bottleneck_density,dispatch_risk_density,operational_stress_score
2025-01-02,A,EXPEDICION,-67,0.0,62.473684210526315,78.94736842105263,0.0,0.0,0.0,0.7894736842105263,25.075809999999997
2025-01-02,B,EXPEDICION,-8,0.0,72.96969696969697,90.9090909090909,0.0,0.0,0.0,0.9090909090909092,8.089504999999999
2025-01-02,C,EXPEDICION,-29,0.0,67.36363636363636,72.72727272727273,0.0,0.0,0.0,0.7272727272727273,25.076185
2025-01-03,A,EXPEDICION,-6,0.0,78.25806451612904,95.16129032258064,0.0,0.0,0.0,0.9516129032258064,6.087015
2025-01-03,B,EXPEDICION,-7,0.0,92.35185185185183,98.14814814814817,0.0,0.0,0.0,0.9814814814814816,7.079650000000001
2025-01-03,C,EXPEDICION,-3,0.0,87.8,95.55555555555556,0.0,0.0,0.0,0.9555555555555556,3.093435
2025-01-04,A,EXPEDICION,0,0.0,92.49019607843135,96.07843137254902,0.0,0.0,0.0,0.9607843137254902,0.06909
2025-01-04,B,EXPEDICION,-7,0.0,97.51923076923076,98.07692307692308,0.0,0.0,0.0,0.9807692307692308,7.074655000000001
2025-01-04,C,EXPEDICION,11,0.0,98.79245283018868,96.22641509433964,0.0,0.0,0.0,0.9622641509433962,11.06975
2025-01-05,A,EXPEDICION,-4,0.0,105.0,98.27586206896552,0.0,0.0,0.0,0.9827586206896552,4.080865
2025-01-05,C,EXPEDICION,12,0.0,84.46666666666667,90.0,0.0,0.0,0.0,0.9,12.094095
2025-01-06,A,EXPEDICION,-27,0.0,85.57446808510639,97.87234042553192,0.0,0.0,0.0,0.9787234042553192,25.073845
2025-01-06,B,EXPEDICION,-19,0.0,90.0,93.75,0.0,0.0,0.0,0.9375,19.080325
2025-01-06,C,EXPEDICION,20,0.0,79.72222222222223,79.62962962962963,0.0,0.0,0.0,0.7962962962962963,20.07698
2025-01-07,A,EXPEDICION,-12,0.0,93.72222222222224,92.5925925925926,0.0,0.0,0.0,0.925925925925926,12.084195
2025-01-07,B,EXPEDICION,-10,0.0,76.94642857142857,91.07142857142856,0.0,0.0,0.0,0.9107142857142856,10.09288
2025-01-07,C,EXPEDICION,3,0.0,105.4186046511628,97.67441860465117,0.0,0.0,0.0,0.9767441860465116,3.09351
2025-01-08,A,EXPEDICION,-21,0.0,86.28260869565217,91.30434782608695,0.0,0.0,0.0,0.9130434782608696,21.06948
2025-01-08,B,EXPEDICION,25,0.0,86.13513513513513,86.48648648648648,0.0,0.0,0.0,0.8648648648648649,25.083715
2025-01-08,C,EXPEDICION,16,0.0,84.984375,93.75,0.0,0.0,0.0,0.9375,16.083295
2025-01-09,A,EXPEDICION,-21,0.0,105.5,94.82758620689656,0.0,0.0,0.0,0.9482758620689656,21.06186
2025-01-09,B,EXPEDICION,3,0.0,87.1029411764706,95.58823529411764,0.0,0.0,0.0,0.9558823529411764,3.069465
2025-01-09,C,EXPEDICION,-2,0.0,96.0,95.45454545454544,0.0,0.0,0.0,0.9545454545454546,2.088755
2025-01-10,A,EXPEDICION,-19,0.0,88.54347826086956,93.47826086956522,0.0,0.0,0.0,0.9347826086956522,19.08094
2025-01-10,B,EXPEDICION,0,0.0,81.30357142857143,83.92857142857143,0.0,0.0,0.0,0.8392857142857143,0.08358
2025-01-10,C,EXPEDICION,1,0.0,89.71929824561404,94.73684210526316,0.0,0.0,0.0,0.9473684210526316,1.09198
2025-01-11,A,EXPEDICION,8,0.0,94.31343283582088,97.01492537313432,0.0,0.0,0.0,0.9701492537313432,8.06666
2025-01-11,C,EXPEDICION,24,0.0,90.6206896551724,87.93103448275862,0.0,0.0,0.0,0.8793103448275862,24.08208
2025-01-12,A,EXPEDICION,4,0.0,104.83050847457628,98.30508474576273,0.0,0.0,0.0,0.9830508474576272,4.07695
2025-01-12,B,EXPEDICION,-4,0.0,98.03921568627452,90.19607843137256,0.0,0.0,0.0,0.9019607843137256,4.068985
2025-01-12,C,EXPEDICION,9,0.0,112.8695652173913,95.65217391304348,0.0,0.0,0.0,0.9565217391304348,9.07275
2025-01-13,A,EXPEDICION,-12,0.0,77.90196078431373,82.35294117647058,0.0,0.0,0.0,0.8235294117647058,12.06738
2025-01-13,B,EXPEDICION,0,0.0,70.37735849056604,88.67924528301887,0.0,0.0,0.0,0.8867924528301887,0.073875
2025-01-13,C,EXPEDICION,13,0.0,93.6590909090909,86.36363636363636,0.0,0.0,0.0,0.8636363636363636,13.090855
2025-01-14,A,EXPEDICION,-24,0.0,80.6470588235294,86.27450980392157,0.0,0.0,0.0,0.8627450980392157,24.090645
2025-01-14,C,EXPEDICION,4,0.0,85.32075471698113,94.33962264150944,0.0,0.0,0.0,0.9433962264150944,4.08865
2025-01-15,A,EXPEDICION,-3,0.0,102.79629629629628,92.5925925925926,0.0,0.0,0.0,0.925925925925926,3.06945
2025-01-15,B,EXPEDICION,15,0.0,103.921875,95.3125,0.0,0.0,0.0,0.953125,15.094905
2025-01-15,C,EXPEDICION,-1,0.0,101.01886792452832,90.56603773584906,0.0,0.0,0.0,0.9056603773584906,1.09141
2025-01-16,A,EXPEDICION,-4,0.0,83.34482758620689,91.3793103448276,0.0,0.0,0.0,0.913793103448276,4.0702300000000005
2025-01-16,B,EXPEDICION,-6,0.0,73.76470588235294,90.19607843137256,0.0,0.0,0.0,0.9019607843137256,6.06252
2025-01-16,C,EXPEDICION,5,0.0,93.17647058823528,96.07843137254902,0.0,0.0,0.0,0.9607843137254902,5.083265
2025-01-17,A,EXPEDICION,-31,0.0,72.13725490196079,86.27450980392157,0.0,0.0,0.0,0.8627450980392157,25.077700000000004
2025-01-17,B,EXPEDICION,5,0.0,84.93548387096774,87.09677419354838,0.0,0.0,0.0,0.8709677419354839,5.085575
2025-01-17,C,EXPEDICION,7,0.0,66.14285714285714,89.79591836734694,0.0,0.0,0.0,0.8979591836734694,7.09285
2025-01-18,A,EXPEDICION,-7,0.0,71.13207547169812,86.79245283018868,0.0,0.0,0.0,0.8679245283018868,7.08709
2025-01-18,B,EXPEDICION,17,0.0,77.01666666666667,90.0,0.0,0.0,0.0,0.9,17.07038
